host_ID,host_species,village,grid,season,total_reads,asv_ID,reads
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_7,0.08839629043202896
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_8,0.01705496494005881
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_9,0.10499886903415517
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_10,0.011445374349694639
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_12,0.11368468672246099
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_13,0.002533363492422529
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_15,0.09966071024655056
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_25,0.06989368921058585
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_38,0.004297670210359647
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_58,0.0040262384076000905
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_60,0.002126215788283194
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_80,0.28075096132096805
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_135,0.012757294729699163
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_211,0.001402397647591043
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_273,0.005157204252431577
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_287,0.0011762044786247454
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_329,0.013526351504184573
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_346,0.04546482696222574
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_356,0.02280027143180276
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_528,0.015109703686948655
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_571,0.022709794164216243
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_597,0.0015833521827640805
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_615,0.002759556661388826
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_635,0.001221443112418005
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_764,0.0015833521827640805
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_804,0.0023976475910427505
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_948,0.02451933951594662
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_1430,0.00162859081655734
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_1535,0.0017190680841438588
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_1540,0.0017190680841438588
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_1543,0.002261931689662972
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_1710,0.009454874462791224
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_1923,0.002669079393802307
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_2364,0.00162859081655734
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_2431,0.001945261253110156
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_2949,0.0023071703234562313
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,22105,ASV_3768,0.00162859081655734
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_1,0.003596240294237842
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_2,0.41442582754393137
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_4,0.22905598692276258
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_6,0.07981201471189212
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_19,0.007928075194115243
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_24,0.021454842664487127
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_27,0.0015120555782590927
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_65,0.057090314671025745
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_140,0.0011851246424192888
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_171,0.0036779730281977932
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_198,0.0746628524724152
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_267,0.0022067838169186754
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_364,0.059624029423784225
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_376,0.029955046996322027
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_551,0.0027380465876583574
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_631,0.0017163874131589701
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_661,0.004454434000817327
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_852,0.002329382917858602
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_1352,0.0014303228442991418
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,24470,ASV_1524,0.0011442582754393135
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_1,0.04670802272845749
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_2,0.036594901735912004
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_3,0.13313871657196477
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_4,0.001876661627482667
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_5,0.11087942449043424
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_6,0.003596934786008445
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_20,0.003596934786008445
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_28,0.005890632330709482
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_29,0.008080070896105927
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_31,0.005994891310014075
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_36,0.01000886201324089
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_47,0.005108689985925037
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_52,0.0012511077516551112
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_54,0.0016160141792211852
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_56,0.0019809206067872595
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_57,0.0015638846895688892
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_71,0.003596934786008445
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_72,0.002919251420528593
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_79,0.0021894385653964447
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_81,0.0016160141792211852
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_83,0.006255538758275557
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_89,0.03440546317051556
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_92,0.0032320283584423705
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_100,0.002710733461919408
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_101,0.0020330500964395558
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_106,0.007350258040973779
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_109,0.017984673930042223
2010,Rattus rattus,Mandena,brushy_regrowth,1,19183,ASV_110,0.0012511077516551112
